calibration,Q8_0,Q4_K_M,Q3_K_M,Q2_K
random,0.3780487804878049,0.34146341463414637,0.36585365853658536,0.21341463414634146
mixed,0.3780487804878049,0.3170731707317073,0.35365853658536583,0.21341463414634146
code,0.3780487804878049,0.34146341463414637,0.35365853658536583,0.2073170731707317
