model,pass@1,status
baseline-f16,0.3902439024390244,OK
random-Q8_0,0.3780487804878049,OK
random-Q4_K_M,0.34146341463414637,OK
random-Q3_K_M,0.36585365853658536,OK
random-Q2_K,0.21341463414634146,OK
mixed-Q8_0,0.3780487804878049,OK
mixed-Q4_K_M,0.3170731707317073,OK
mixed-Q3_K_M,0.35365853658536583,OK
mixed-Q2_K,0.21341463414634146,OK
code-Q8_0,0.3780487804878049,OK
code-Q4_K_M,0.34146341463414637,OK
code-Q3_K_M,0.35365853658536583,OK
code-Q2_K,0.2073170731707317,OK
