calibration,Q8_0,Q4_K_M,Q3_K_M,Q2_K
random,-1.2195121951219523,-4.878048780487809,-2.43902439024391,-17.6829268292683
mixed,-1.2195121951219523,-7.3170731707317085,-3.6585365853658622,-17.6829268292683
code,-1.2195121951219523,-4.878048780487809,-3.6585365853658622,-18.292682926829272
