calibration,Q8_0,Q4_K_M,Q3_K_M,Q2_K
random,-3.1250000000000027,-12.50000000000001,-6.2500000000000195,-45.312500000000014
mixed,-3.1250000000000027,-18.750000000000004,-9.375000000000021,-45.312500000000014
code,-3.1250000000000027,-12.50000000000001,-9.375000000000021,-46.87500000000001
